r,i,m,fr,fi,fm
-8,0,8,-0.6954352084561567,0,0.6954352084561567
-7.2,0,7.2,-0.6947130337599697,0,0.6947130337599697
-6.4,0,6.4,-0.6931070730375534,0,0.6931070730375534
-5.6,0,5.6,-0.6895392054423077,0,0.6895392054423077
-4.8,0,4.8,-0.6816295780676882,0,0.6816295780676882
-4,0,4,-0.6641766300245194,0,0.6641766300245194
-4,-0.8,4.079215610874228,-0.673589175943792,-0.022747028860250887,0.6739731487756807
-4,-1.6,4.308131845707604,-0.2852836716064625,0.7127248889391912,0.7677001632138984
-4,-2.4,4.66476151587624,-0.48152080368368316,1.0352135100827526,1.1417220746915746
-4,-3.2,5.122499389946279,-0.7224225901207837,1.4848125683597426,1.6512306810000466
-4,-4,5.656854249492381,-0.9977804723383984,2.0939750649960245,2.319546818627497
-7.2,0,7.2,-0.6947130337599697,0,0.6947130337599697
-6.4,0,6.4,-0.6931070730375534,0,0.6931070730375534
-5.6,0,5.6,-0.6895392054423077,0,0.6895392054423077
-4.800000000000001,0,4.800000000000001,-0.6816295780676882,0,0.6816295780676882
-4,0,4,-0.6641766300245194,0,0.6641766300245194
-3.2,0,3.2,-0.6260538060817963,0,0.6260538060817963
-3.2,-0.8,3.2984845004941286,-0.6461022174079815,-0.0497018110040815,0.648011068853454
-3.2,-1.6,3.577708763999664,-0.5249904970134532,0.4927287820498199,0.7199976907009713
-3.2,-2.4,4,-0.8339969092065014,0.750849086382785,1.1221965937784075
-3.2,-3.2,4.525483399593905,-1.2231334102475044,1.1424693107172275,1.6737059076176992
-3.2,-4,5.122499389946279,-1.6826316963356907,1.7069494024813312,2.3968574609569293
-6.4,0,6.4,-0.6931070730375534,0,0.6931070730375534
-5.6,0,5.6,-0.6895392054423077,0,0.6895392054423077
-4.8,0,4.8,-0.6816295780676882,0,0.6816295780676882
-4,0,4,-0.6641766300245194,0,0.6641766300245194
-3.2,0,3.2,-0.6260538060817963,0,0.6260538060817963
-2.4,0,2.4,-0.544523261396139,0,0.544523261396139
-2.4,-0.8,2.5298221281347035,-0.5851542599128668,-0.1062610751015808,0.5947242419608594
-2.4,-1.6,2.884441020371191,-0.6814756321549328,0.17835838213963434,0.7044293787885575
-2.4,-2.4,3.394112549695428,-1.104960889439024,0.333071401740984,1.1540689432818054
-2.4,-3.2,4,-1.6523387343734453,0.6271540046559669,1.7673554930083692
-2.4,-4,4.66476151587624,-2.3128472522455215,1.1080674827783112,2.5645810493354118
-5.6,0,5.6,-0.6895392054423077,0,0.6895392054423077
-4.800000000000001,0,4.800000000000001,-0.6816295780676882,0,0.6816295780676882
-4,0,4,-0.6641766300245194,0,0.6641766300245194
-3.2,0,3.2,-0.6260538060817963,0,0.6260538060817963
-2.4000000000000004,0,2.4000000000000004,-0.544523261396139,0,0.544523261396139
-1.6,0,1.6,-0.3771925677588087,0,0.3771925677588087
-1.6,-0.8,1.788854381999832,-0.45201727966030086,-0.21722375622486417,0.5015035208051265
-1.6,-1.6,2.2627416997969525,-0.7109987723546692,-0.226089685122757,0.7460802905912701
-1.6,-2.4,2.884441020371191,-1.2504078690802838,-0.22444133772933658,1.2703911811484012
-1.6,-3.2,3.577708763999664,-1.9672241391645127,-0.07534626465451481,1.9686665216102364
